Frame,Time (s),Point ID,X,Y,Vx,Vy,Ax,Ay
47,1.57,6,828,841,179.90,-95.19,5215.53,-3036.91
48,1.60,0,829,811,169.95,-100.72,4925.42,-3194.52
48,1.60,1,848,813,164.08,-87.65,4753.53,-2798.42
48,1.60,2,833,835,172.18,-103.83,4995.15,-3285.36
48,1.60,3,836,809,160.84,-97.21,4648.32,-3093.19
48,1.60,4,839,838,172.98,-100.51,5012.55,-3192.31
48,1.60,5,842,812,166.37,-91.22,4817.16,-2910.57
48,1.60,6,833,837,167.95,-100.90,4858.49,-3206.90
49,1.63,0,834,808,165.40,-88.62,4792.13,-2828.42
49,1.63,1,854,810,170.57,-102.06,4953.13,-3226.02
49,1.63,2,839,832,156.45,-92.52,4521.18,-2947.88
49,1.63,3,842,805,160.01,-95.42,4639.58,-3023.55
49,1.63,4,844,835,156.30,-102.30,4516.15,-3242.01
49,1.63,5,847,808,167.14,-98.79,4847.90,-3129.98
49,1.63,6,839,834,156.63,-98.41,4531.02,-3120.14
50,1.67,0,840,805,167.36,-99.81,4855.51,-3159.67
50,1.67,1,859,807,167.15,-93.97,4843.97,-2989.72
50,1.67,2,844,829,169.16,-97.20,4918.36,-3072.44
50,1.67,3,847,802,166.21,-101.98,4826.35,-3219.49
50,1.67,4,849,831,141.72,-95.69,4095.35,-3027.14
50,1.67,5,853,805,163.13,-95.84,4726.88,-3042.32
50,1.67,6,844,831,165.03,-96.30,4794.41,-3045.76
51,1.70,0,845,802,162.66,-83.76,4712.54,-2680.21
51,1.70,1,865,804,162.06,-99.64,4694.52,-3156.31
51,1.70,2,850,825,157.97,-92.22,4570.07,-2935.85
51,1.70,3,853,799,165.08,-80.76,4786.15,-2589.14
51,1.70,4,855,828,166.11,-91.40,4841.62,-2883.63
51,1.70,5,858,802,162.67,-93.72,4717.05,-2974.70
51,1.70,6,850,828,167.65,-89.94,4864.51,-2863.22
52,1.73,0,851,799,166.70,-95.70,4838.42,-3033.78
52,1.73,1,870,801,158.69,-82.58,4598.59,-2639.42
52,1.73,2,855,822,169.12,-91.22,4915.57,-2894.61
52,1.73,3,858,796,172.07,-90.66,4996.90,-2885.02
52,1.73,4,860,825,160.06,-95.73,4635.79,-3037.99
52,1.73,5,864,799,168.40,-86.07,4889.39,-2744.68
52,1.73,6,855,825,159.92,-92.95,4629.86,-2956.04
53,1.77,0,857,796,165.08,-86.05,4785.55,-2748.16
53,1.77,1,875,798,160.66,-89.87,4661.12,-2854.73
53,1.77,2,861,819,162.08,-92.40,4693.16,-2941.13
53,1.77,3,864,794,162.35,-82.74,4698.39,-2654.32
53,1.77,4,864,822,134.20,-101.48,3865.93,-3204.54
53,1.77,5,869,796,161.34,-85.74,4671.79,-2740.69
53,1.77,6,860,821,153.61,-95.74,4448.52,-3032.07
54,1.80,0,862,793,157.23,-94.87,4551.68,-3011.30
54,1.80,1,880,795,155.00,-89.39,4489.47,-2842.42
